label,env,algorithm,corruption_mode,corruption_type,corruption_rate,note,score_mean_high,score_std_high,score_mean_low,score_std_low
walker2d_RDT_state_rnd,walker2d-medium-replay-v2,RDT,random,state,0.3,,19.9,14.4,10.05,10.12
walker2d_DT_state_rnd,walker2d-medium-replay-v2,DT,random,state,0.3,,22.71,13.57,20.75,12.4
walker2d_RDT_action_rnd,walker2d-medium-replay-v2,RDT,random,action,0.3,,28.02,19.16,25.4,17.83
walker2d_DT_action_rnd,walker2d-medium-replay-v2,DT,random,action,0.3,,27.69,18.92,24.97,18.05
walker2d_RDT_reward_rnd,walker2d-medium-replay-v2,RDT,random,reward,0.3,,40.32,19.5,38.46,20.37
walker2d_DT_reward_rnd,walker2d-medium-replay-v2,DT,random,reward,0.3,,37.63,25.48,29.93,20.29
walker2d_RDT_mixed_rnd,walker2d-medium-replay-v2,RDT,random,mixed,0.3,,17.6,11.54,17.48,11.33
walker2d_DT_mixed_rnd,walker2d-medium-replay-v2,DT,random,mixed,0.3,,16.06,8.13,15.33,9.12
walker2d_RDT_state_no_dropout,walker2d-medium-replay-v2,RDT,random,state,0.3,no_dropout,18.96,11.98,20.41,15.17
walker2d_RDT_state_no_wmse,walker2d-medium-replay-v2,RDT,random,state,0.3,no_wmse,24.29,13.45,17.38,13.42
walker2d_RDT_action_no_correction,walker2d-medium-replay-v2,RDT,random,action,0.3,no_correction,31.62,20.9,25.72,18.12
walker2d_RDT_state_rate05,walker2d-medium-replay-v2,RDT,random,state,0.5,,13.35,11.05,15.75,10.89
walker2d_DT_state_rate05,walker2d-medium-replay-v2,DT,random,state,0.5,,14.76,11.23,16.36,10.8
hopper_RDT_state_rnd,hopper-medium-replay-v2,RDT,random,state,0.3,,27.33,6.24,27.93,6.3
hopper_DT_state_rnd,hopper-medium-replay-v2,DT,random,state,0.3,,32.88,6.16,30.82,6.63
hopper_RDT_state_adv,hopper-medium-replay-v2,RDT,adversarial,state,0.3,,20.66,10.85,31.01,13.53
hopper_DT_state_adv,hopper-medium-replay-v2,DT,adversarial,state,0.3,,28.98,7.91,35.76,8.17
halfcheetah_RDT_state_rnd,halfcheetah-medium-replay-v2,RDT,random,state,0.3,,8.64,6.14,7.77,5.78
halfcheetah_DT_state_rnd,halfcheetah-medium-replay-v2,DT,random,state,0.3,,6.99,4.92,7.34,4.5
halfcheetah_RDT_state_adv,halfcheetah-medium-replay-v2,RDT,adversarial,state,0.3,,4.59,3.95,4.53,3.92
halfcheetah_DT_state_adv,halfcheetah-medium-replay-v2,DT,adversarial,state,0.3,,7.77,5.6,8.11,5.23
walker2d_RDT_mixed_adv,walker2d-medium-replay-v2,RDT,adversarial,mixed,0.3,,14.3,12.44,12.43,12.33
walker2d_DT_mixed_adv,walker2d-medium-replay-v2,DT,adversarial,mixed,0.3,,14,9.33,11.1,9.32
